school_district,rep_name,rep_district,rep_email,rep_party,rep_stance,rep_role,rep_address,enrollment,poverty_rate,minority_rate
"Bay Village City School District","Bride Rose Sweeney",16,rep16@ohiohouse.gov,D,Friendly,State Rep,"77 S High St, Columbus, OH 43215",,,
"Beachwood City School District","Juanita O. Brent",18,rep18@ohiohouse.gov,D,Friendly,State Rep,"77 S High St, Columbus, OH 43215",,,
"Beavercreek City School District","Brian Lampton",70,rep70@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Beaver Local School District","Monica Robb Blasdel",79,rep79@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Bedford City School District","Juanita O. Brent",18,rep18@ohiohouse.gov,D,Friendly,State Rep,"77 S High St, Columbus, OH 43215",,,
"Bellaire Local School District","Ty Moore",95,rep95@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Bellbrook-Sugarcreek Local School District","Brian Lampton",70,rep70@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Bellefontaine City School District","Tracy M. Richardson",86,rep86@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Bellevue City School District","D. J. Swearingen",89,rep89@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Belpre City School District","Kevin Ritter",94,rep94@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Benjamin Logan Local School District","Tracy M. Richardson",86,rep86@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Benton-Carroll-Salem Local School District","D. J. Swearingen",89,rep89@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Berea City School District","Michael D. Dovilla",17,rep17@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Berkshire Local School District","Sarah Fowler Arthur",99,rep99@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Berne Union Local School District","Brian Stewart",12,rep12@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Bethel Local School District","Johnathan Newman",80,rep80@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Bethel-Tate Local School District","Adam C. Bird",63,rep63@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Bexley City School District","Dontavius L. Jarrells",1,rep01@ohiohouse.gov,D,Friendly,State Rep,"77 S High St, Columbus, OH 43215",,,
"Big Walnut Local School District","Beth Lear",61,rep61@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Black River Local School District","Melanie Miller",67,rep67@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Blanchester Local School District","Bob Peterson",91,rep91@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Bloom-Carroll Local School District","Brian Stewart",12,rep12@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Bloomfield-Mespo Local School District","Sarah Fowler Arthur",99,rep99@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Bloom-Vernon Local School District","Justin Pizzulli",90,rep90@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Bluffton Exempted Village School District","Angela N. King",84,rep84@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Boardman Local School District","Tex Fischer",59,rep59@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Botkins Local School District","Tim Barhorst",85,rep85@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Bowling Green City School District","Haraz N. Ghanbari",75,rep75@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Bradford Exempted Village School District","Johnathan Newman",80,rep80@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Brecksville-Broadview Heights City School District","Bill Roemer",31,rep31@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Bridgeport Exempted Village School District","Ty Moore",95,rep95@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Bright Local School District","Bob Peterson",91,rep91@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Bristol Local School District","Nick Santucci",64,rep64@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Brookfield Local School District","Nick Santucci",64,rep64@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Brooklyn City School District","Tristan Rader",13,rep13@ohiohouse.gov,D,Friendly,State Rep,"77 S High St, Columbus, OH 43215",,,
"Brookville Local School District","Phil Plummer",39,rep39@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Brown Local School District","Monica Robb Blasdel",79,rep79@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Brunswick City School District","Sharon A. Ray",66,rep66@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Bryan City School District","James M. Hoops",81,rep81@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Buckeye Central Local School District","Riordan T. McClain",87,rep87@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Buckeye Local School District (Ashtabula County)","Sarah Fowler Arthur",99,rep99@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Buckeye Local School District (Jefferson County)","Ty Moore",95,rep95@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Buckeye Local School District (Medina County)","Ty Moore",95,rep95@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Buckeye Valley Local School District","Beth Lear",61,rep61@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Bucyrus City School District","Riordan T. McClain",87,rep87@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Caldwell Exempted Village School District","Ty Moore",95,rep95@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Cambridge City School District","Adam Holmes",97,rep97@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Campbell City School District","Lauren McNally",58,rep58@ohiohouse.gov,D,Friendly,State Rep,"77 S High St, Columbus, OH 43215",,,
"Canal Winchester Local School District","Meredith R. Lawson-Rowe",5,rep05@ohiohouse.gov,D,Friendly,State Rep,"77 S High St, Columbus, OH 43215",,,
"Canfield Local School District","Tex Fischer",59,rep59@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Canton City Schools","Jim Thomas",49,rep49@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Canton Local School District","Scott Oelslager",48,rep48@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Cardinal Local School District","Sarah Fowler Arthur",99,rep99@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Cardington-Lincoln Local School District","Riordan T. McClain",87,rep87@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Carey Exempted Village School District","Gary Click",88,rep88@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Carlisle Local School District","Michelle Teska",55,rep55@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Carrollton Exempted Village School District","Monica Robb Blasdel",79,rep79@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Cedar Cliff Local School District","Brian Lampton",70,rep70@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Celina City School District","Angela N. King",84,rep84@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Centerburg Local School District","Thaddeus J. Claggett",68,rep68@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Centerville City School District","Tom Young",37,rep37@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Central Local School District","James M. Hoops",81,rep81@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Chagrin Falls Exempted Village School District","Steve Demetriou",35,rep35@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Champion Local School District","Nick Santucci",64,rep64@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Chardon Local School District","Sarah Fowler Arthur",99,rep99@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Chesapeake Union Exempted Village School District","Jason Stephens",93,rep93@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Chillicothe City School District","Mark Johnson",92,rep92@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Chippewa Local School District","Mark Hiner",98,rep98@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Cincinnati Public Schools","Dani Isaacsohn",24,rep24@ohiohouse.gov,D,Friendly,State Rep,"77 S High St, Columbus, OH 43215",,,
"Circleville City School District","Brian Stewart",12,rep12@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Clark-Shawnee Local School District","Bernard Willis",74,rep74@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Clay Local School District","Justin Pizzulli",90,rep90@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Claymont City School District","Justin Pizzulli",90,rep90@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Clear Fork Valley Local School District","Marilyn John",76,rep76@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Clearview Local School District","Joseph A. Miller, III",53,rep53@ohiohouse.gov,D,Friendly,State Rep,"77 S High St, Columbus, OH 43215",,,
"Clermont Northeastern Local School District","Jean Schmidt",62,rep62@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Cleveland Heights-University Heights City School District","Juanita O. Brent",18,rep18@ohiohouse.gov,D,Friendly,State Rep,"77 S High St, Columbus, OH 43215",,,
"Cleveland Metropolitan School District","Terrence Upchurch",20,rep20@ohiohouse.gov,D,Friendly,State Rep,"77 S High St, Columbus, OH 43215",,,
"Clinton-Massie Local School District","Bob Peterson",91,rep91@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Cloverleaf Local School District","Sharon A. Ray",66,rep66@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Clyde-Green Springs Exempted Village School District","Gary Click",88,rep88@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Coldwater Exempted Village School District","Angela N. King",84,rep84@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"College Corner Local School District","Rodney Creech",40,rep40@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Colonel Crawford Local School District","Riordan T. McClain",87,rep87@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Columbia Local School District","Joseph A. Miller, III",53,rep53@ohiohouse.gov,D,Friendly,State Rep,"77 S High St, Columbus, OH 43215",,,
"Columbiana Exempted Village School District","Joseph A. Miller, III",53,rep53@ohiohouse.gov,D,Friendly,State Rep,"77 S High St, Columbus, OH 43215",,,
"Columbus City Schools","Dontavius L. Jarrells",1,rep01@ohiohouse.gov,D,Friendly,State Rep,"77 S High St, Columbus, OH 43215",,,
"Columbus Grove Local School District","Roy Klopfenstein",82,rep82@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Conneaut Area City School District","Sarah Fowler Arthur",99,rep99@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Conotton Valley Union Local School District","Mark Hiner",98,rep98@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Continental Local School District","Roy Klopfenstein",82,rep82@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Copley-Fairlawn City School District","Bill Roemer",31,rep31@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Cory-Rawson Local Schools","Ty D. Mathews",83,rep83@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Coshocton City School District","Adam Holmes",97,rep97@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Coventry Local School District","Jack K. Daniels",32,rep32@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Covington Exempted Village School District","Johnathan Newman",80,rep80@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Crestline Exempted Village School District","Riordan T. McClain",87,rep87@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Crestview Local School District","Roy Klopfenstein",82,rep82@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Crestwood Local School District","Heidi Workman",72,rep72@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Crooksville Exempted Village School District","Meredith Craig",77,rep77@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Cuyahoga Falls City School District","Jack K. Daniels",32,rep32@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Cuyahoga Heights School District","Eric Synenberg",21,rep21@ohiohouse.gov,D,Friendly,State Rep,"77 S High St, Columbus, OH 43215",,,
"Dalton Local School District","Meredith Craig",77,rep77@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Danbury Local School District","D. J. Swearingen",89,rep89@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Danville Local School District","Mark Hiner",98,rep98@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Dawson-Bryant Local School District","Jason Stephens",93,rep93@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Dayton Public Schools","Desiree Tims",38,rep38@ohiohouse.gov,D,Friendly,State Rep,"77 S High St, Columbus, OH 43215",,,
"Deer Park Community City School District","Karen Brownlee",28,rep28@ohiohouse.gov,D,Friendly,State Rep,"77 S High St, Columbus, OH 43215",,,
"Defiance City School District","James M. Hoops",81,rep81@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Delaware City School District","Beth Lear",61,rep61@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Delphos City School District","Roy Klopfenstein",82,rep82@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Dover City School District","Mark Hiner",98,rep98@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Dublin City Schools","Anita Somani",8,rep08@ohiohouse.gov,D,Friendly,State Rep,"77 S High St, Columbus, OH 43215",,,
"East Cleveland City School District","Terrence Upchurch",20,rep20@ohiohouse.gov,D,Friendly,State Rep,"77 S High St, Columbus, OH 43215",,,
"East Clinton Local School District","Bob Peterson",91,rep91@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Eastern Local School District (Brown County)","Justin Pizzulli",90,rep90@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Eastern Local School District (Meigs County)","Kevin Ritter",94,rep94@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Eastern Local School District (Pike County)","Justin Pizzulli",90,rep90@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"East Guernsey Local School District","Adam Holmes",97,rep97@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"East Holmes Local School District","Mark Hiner",98,rep98@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"East Knox Local School District","Mark Hiner",98,rep98@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"East Liverpool City School District","Monica Robb Blasdel",79,rep79@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"East Muskingum Local School District","Adam Holmes",97,rep97@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"East Palestine City School District","Monica Robb Blasdel",79,rep79@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Eastwood Local School District","Haraz N. Ghanbari",75,rep75@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Eaton Community Schools","Rodney Creech",40,rep40@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Edgerton Local School District","James M. Hoops",81,rep81@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Edgewood City School District","Diane Mullins",47,rep47@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Edison Local School District (Erie County)","D. J. Swearingen",89,rep89@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Edison Local School District (Jefferson County)","Ron Ferguson",96,rep96@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Edon Northwest Local School District","James M. Hoops",81,rep81@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Elgin Local School District","Tracy M. Richardson",86,rep86@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Elida Local School District","Angela N. King",84,rep84@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Elmwood Local School District","Haraz N. Ghanbari",75,rep75@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Elyria City School District","Gayle Manning",52,rep52@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Euclid City School District","Darnell T. Brewer",22,rep22@ohiohouse.gov,D,Friendly,State Rep,"77 S High St, Columbus, OH 43215",,,
"Evergreen Local School District","James M. Hoops",81,rep81@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Fairbanks Local School District","Tracy M. Richardson",86,rep86@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Fairborn City School District","Brian Lampton",70,rep70@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Fairfield City School District","Jennifer Gross",45,rep45@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Fairfield Local School District","Bob Peterson",91,rep91@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Fairfield Union Local School District","Brian Stewart",12,rep12@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Fairland Local School District","Jason Stephens",93,rep93@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Fairlawn Local School District","Tim Barhorst",85,rep85@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Fairless Local School District","Matthew Kishman",50,rep50@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Fairport Harbor Exempted Village School District","Jamie Callender",57,rep57@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Fairview Park City School District","Bride Rose Sweeney",16,rep16@ohiohouse.gov,D,Friendly,State Rep,"77 S High St, Columbus, OH 43215",,,
"Fayette Local School District","James M. Hoops",81,rep81@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Fayetteville-Perry Local School District","James M. Hoops",81,rep81@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Federal Hocking Local School District","Kevin Ritter",94,rep94@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Felicity-Franklin Local School District","Adam C. Bird",63,rep63@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Field Local School District","Heidi Workman",72,rep72@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Findlay City School District","Ty D. Mathews",83,rep83@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Finneytown Local School District","Karen Brownlee",28,rep28@ohiohouse.gov,D,Friendly,State Rep,"77 S High St, Columbus, OH 43215",,,
"Firelands Local School District","Joseph A. Miller, III",53,rep53@ohiohouse.gov,D,Friendly,State Rep,"77 S High St, Columbus, OH 43215",,,
"Forest Hills School District","Rachel B. Baker",27,rep27@ohiohouse.gov,D,Friendly,State Rep,"77 S High St, Columbus, OH 43215",,,
"Fort Frye Local School District","Kevin Ritter",94,rep94@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Fort Loramie Local School District","Tim Barhorst",85,rep85@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Fort Recovery Local School District","Angela N. King",84,rep84@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Fostoria City School District","Gary Click",88,rep88@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Franklin City School District","Michelle Teska",55,rep55@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Franklin Local School District","Adam Holmes",97,rep97@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Franklin Monroe Local School District","Johnathan Newman",80,rep80@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Fredericktown Local School District","Mark Hiner",98,rep98@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Fremont City School District","Gary Click",88,rep88@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Frontier Local School District","Kevin Ritter",94,rep94@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Gahanna-Jefferson City School District","Munira Abdullahi",9,rep09@ohiohouse.gov,D,Friendly,State Rep,"77 S High St, Columbus, OH 43215",,,
"Galion City School District","Riordan T. McClain",87,rep87@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Gallia County Local School District","Jason Stephens",93,rep93@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Gallipolis City School District","Jason Stephens",93,rep93@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Garaway Local School District","Mark Hiner",98,rep98@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Garfield Heights City School District","Heidi Workman",72,rep72@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Geneva Area City School District","Sarah Fowler Arthur",99,rep99@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Genoa Area Local School District","D. J. Swearingen",89,rep89@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Georgetown Exempted Village School District","Justin Pizzulli",90,rep90@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Gibsonburg Exempted Village School District","Gary Click",88,rep88@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Girard City School District","Nick Santucci",64,rep64@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Goshen Local School District","Jean Schmidt",62,rep62@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Graham Local School District","Tim Barhorst",85,rep85@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Grand Valley Local School District","Sarah Fowler Arthur",99,rep99@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Grandview Heights City School District","C. Allison Russo",7,rep07@ohiohouse.gov,D,Friendly,State Rep,"77 S High St, Columbus, OH 43215",,,
"Granville Exempted Village School District","Thaddeus J. Claggett",68,rep68@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Greeneview Local School District","Brian Lampton",70,rep70@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Greenfield Exempted Village School District","Heidi Workman",72,rep72@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Green Local School District","Bill Roemer",31,rep31@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Greenon Local School District","Bernard Willis",74,rep74@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Greenville City School District","Angela N. King",84,rep84@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Groveport-Madison Local School District","Mark Sigrist",10,rep10@ohiohouse.gov,D,Friendly,State Rep,"77 S High St, Columbus, OH 43215",,,
"Hamilton City School District","Thomas Hall",46,rep46@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Hamilton Local School District","Mark Sigrist",10,rep10@ohiohouse.gov,D,Friendly,State Rep,"77 S High St, Columbus, OH 43215",,,
"Hardin-Houston Local School District","Tim Barhorst",85,rep85@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Hardin Northern Local School District","Ty D. Mathews",83,rep83@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Harrison Hills City School District","Ron Ferguson",96,rep96@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Heath City School District","Thaddeus J. Claggett",68,rep68@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Hicksville Exempted Village School District","James M. Hoops",81,rep81@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Highland Local School District (Medina County)","Sharon A. Ray",66,rep66@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Highland Local School District (Morrow County)","Riordan T. McClain",87,rep87@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Hilliard City Schools","Crystal Lett",11,rep11@ohiohouse.gov,D,Friendly,State Rep,"77 S High St, Columbus, OH 43215",,,
